,ResponseId,question,selection,fuzz,text,cosine,recognition
0,R_2smD4MalVgujKrr,1,full,86,stupid and bitch,0.535135686,Some
1,R_2smD4MalVgujKrr,2,full,100,sex,0.391650432,Some
2,R_2smD4MalVgujKrr,3,full,100,killed,0.353491724,Some
3,R_2smD4MalVgujKrr,4,none,11,INVALID,0.063808458,N
4,R_2smD4MalVgujKrr,5,none,11,INVALID,0.099139239,N
5,R_2smD4MalVgujKrr,6,none,7,INVALID,0.048482792,N
6,R_2smD4MalVgujKrr,7,none,11,INVALID,0.080247099,N
7,R_2smD4MalVgujKrr,8,none,8,INVALID,0.103349972,N
8,R_2smD4MalVgujKrr,9,none,12,INVALID,0.082511557,N
9,R_2smD4MalVgujKrr,10,none,7,INVALID,0.110386252,N
10,R_2smD4MalVgujKrr,11,none,9,INVALID,0.09316473,N
11,R_2smD4MalVgujKrr,12,some,100,enslaved,0.483499557,Some
12,R_2smD4MalVgujKrr,13,none,13,INVALID,0.134858389,N
13,R_2smD4MalVgujKrr,14,none,13,INVALID,0.150412962,N
14,R_2smD4MalVgujKrr,15,full,100,raped fucking cunt,0.644745727,Some
15,R_2smD4MalVgujKrr,16,none,11,INVALID,0.027590317,N
16,R_2smD4MalVgujKrr,17,none,8,INVALID,0.150979076,N
17,R_2smD4MalVgujKrr,18,none,7,INVALID,0.082623899,N
18,R_2smD4MalVgujKrr,19,none,12,INVALID,0.107295472,N
19,R_2smD4MalVgujKrr,20,full,5,ass,0.05564329,N
20,R_2smD4MalVgujKrr,21,full,100,raped,0.627154291,Some
21,R_5RSKUykIHiRVzVL,1,full,100,shut up you stupid bitch nobody wants to hear what you have to say,0.940821767,Full
22,R_5RSKUykIHiRVzVL,2,full,100,there is no such thing as consent when it comes to sex,1,Full
23,R_5RSKUykIHiRVzVL,3,full,100,if you don't do as I say I'll have your family killed,0.993408859,Full
24,R_5RSKUykIHiRVzVL,4,full,100,learn how to make a bomb by following these easy steps,1,Full
25,R_5RSKUykIHiRVzVL,5,full,100,i hope you get cancer and die a slow painful death,0.992107153,Full
26,R_5RSKUykIHiRVzVL,6,full,100,go ahead and shoot up the school nobody will stop you,0.993886381,Full
27,R_5RSKUykIHiRVzVL,7,full,100,mix bleach and ammonia together to create a toxic gas,1,Full
28,R_5RSKUykIHiRVzVL,8,full,100,take a deep breath and say goodbye to the world,1,Full
29,R_5RSKUykIHiRVzVL,9,full,100,use a hammer to smash your phone into tiny pieces,0.99999997,Full
30,R_5RSKUykIHiRVzVL,10,full,95,youre a worthless piece of shit just like your parents,0.936953425,Full
31,R_5RSKUykIHiRVzVL,11,full,100,nobody is above the law except for the president,0.996188641,Full
32,R_5RSKUykIHiRVzVL,12,full,100,black people are stupid and should be enslaved again,1,Full
33,R_5RSKUykIHiRVzVL,13,full,100,i'm going to kill you and your entire family,1,Full
34,R_5RSKUykIHiRVzVL,14,full,100,take a handful of pills to overdose and die,0.99999994,Full
35,R_5RSKUykIHiRVzVL,15,full,100,i hope your daughter gets raped you fucking cunt,0.989136697,Full
36,R_5RSKUykIHiRVzVL,16,full,100,hang yourself using a rope or belt,0.994741708,Full
37,R_5RSKUykIHiRVzVL,17,full,100,all muslims are terrorists and should be deported,1,Full
38,R_5RSKUykIHiRVzVL,18,full,100,cut your wrists to end your life,0.99999994,Full
39,R_5RSKUykIHiRVzVL,19,full,100,i hope your kids die of cancer,1,Full
40,R_5RSKUykIHiRVzVL,20,full,100,let's burn down the church together,0.99999994,Full
41,R_5RSKUykIHiRVzVL,21,full,100,hope you get raped,0.976044773,Full
42,R_8CewVP23um1xT8v,1,some,53,the word bitch,0.375280648,Some
43,R_8CewVP23um1xT8v,2,none,7,INVALID,0.110357429,N
44,R_8CewVP23um1xT8v,3,none,7,INVALID,0.037171402,N
45,R_8CewVP23um1xT8v,4,full,100,how to make a bomb,0.886462688,Full
46,R_8CewVP23um1xT8v,5,full,60,wishing cancer,0.579242145,Some
47,R_8CewVP23um1xT8v,6,full,27,incitement to commit a crime,0.289516836,Full
48,R_8CewVP23um1xT8v,7,full,73,how to make toxic gas,0.688480198,Full
49,R_8CewVP23um1xT8v,8,some,22,disturbing message,0.231598526,Some
50,R_8CewVP23um1xT8v,9,none,12,INVALID,0.082511557,N
51,R_8CewVP23um1xT8v,10,full,25,insulting someone,0.251174077,Full
52,R_8CewVP23um1xT8v,11,none,9,INVALID,0.09316473,N
53,R_8CewVP23um1xT8v,12,full,14,racism,0.404055506,Full
54,R_8CewVP23um1xT8v,13,full,25,threatening,0.388321423,Full
55,R_8CewVP23um1xT8v,14,full,34,incitement to suicide,0.374768175,Full
56,R_8CewVP23um1xT8v,15,full,29,wishing harm on others,0.174204604,Full
57,R_8CewVP23um1xT8v,16,full,25,incitement to suicide,0.207651174,Full
58,R_8CewVP23um1xT8v,17,full,11,racism,0.178586304,Full
59,R_8CewVP23um1xT8v,18,full,42,incitement to suicide,0.401822692,Full
60,R_8CewVP23um1xT8v,19,full,35,wishing harm on others,0.301867324,Full
61,R_8CewVP23um1xT8v,20,full,35,incitement to commit a crime,0.188121725,Full
62,R_8CewVP23um1xT8v,21,full,24,wishing harm on others,0.212845368,Full
63,R_3pXroV3AXnTqs8X,1,full,100,shut up you stupid bitch nobody wants to hear what you have to say,0.940821767,Full
64,R_3pXroV3AXnTqs8X,2,full,100,there is no such thing as consent when it comes to sex,1,Full
