,text,Rating,word_count,char_length
57,"boutique charmer great location wife recently spent 5 nights inn market attended convention, nice time small comfortably furnished hotel great location just hill pike place market, walk convention center 8 blocks east pretty easy steep 1/2 block adjacent hotel, number trendy restaurants walk north ave. pioneer square old stone buildings charming pergola south road, course market 1/2 block west food stands boutiques fish flower stalls handicrafts jewelry tables entertainers ethnic dining options spill narrow alleys covered arcades, pleasure wake morning grab eat nearby watching small trucks vans unload wares vendors set tables.our room corner overlooking city spacious lots storage space wardrobe large bathroom, sink pedestal-type spreading toiletries limited glass shelf nearby small table/shelf unit, hear traffic noise street annoying did request lowest-priced room city n't expecting total silence closed doors, rooms window seats pillows nice feature makes rooms appear bigger provides additional seating good spot reading people-watching, decor contemporary beiges browns blacks predominating, good weather upstairs terrace nice place sit enjoy views bay market.the modern brick building surrounds pleasant courtyard splashing fountain/sculpture adjacent outdoor seating hotel restaurant, lobby opens courtyard fireplace stuffed chairs registration desk helpful staff operates.we enjoyed time, hotel nice option n't want large convention hotel central seattle location, aware seattle does share street people couple strip clubs near pike place market,  ",5,214,1567
108,"perfect bride/groom guests, husband chose marqueen wedding hotel july, talking hotel seattle marqueen best rates rooms/amenities run stay 3 nights 4th free- check website deals, excellent location amazingly easy work, offered small block rooms needing guaranteed fanatic went forth guest service manager times super nice, left bottle champagne room night wedding, thoughtful, rooms like small apartments- pictures posted previous guests accurate stayed room 202 nice view hotel 1st, small kitchenette built dining space huge bedroom small sitting room, used 202 brides getting ready room housed people comer/goers feeling crammed.the marqueen older building great architecture light took sight pictures headed wedding bride/groom, like hotels basics large room clean internet service, bellman help second car pulls opens/closes doors time arrive desk nice marqueen adds extra touch looking, esp wedding weekend.other details drawback didnt think dont serve breakfast, kitchenette pesos street yummy breakfasts, close multiple restaurants lower queen anne 2 large grocery stores kits camera came handy dry cleaners kinkos 2 starbucks- 4 block radius marqueen.- super clean rooms maids really good not disturbing wedding stuff organizing room service.- downtown shuttle awesome fyi- marriott lake union doesnt shuttle- guests staying overall disappointed parking easy valeted hotel time minimally, free internet worked well/fast, hooray, didnt notice elevator older guests handicapped, rooms floor.overall 5 stars highly recommend marqueen, enjoy, havnt added pics room 202 posted reviewer quite messy room, pictures good truly room,  ",5,228,1633
443,"max-imum enjoyment, co-worker stayed hotel max semi-business trip decided share room save company dollars mindful watch company money, max high end price wise typically pay traveling pleasure competetive downtown seattle hotels priceline spoiled years 150 night like splurge, called ahead confirm late check double check set reserved room 2 beds a-ok. arrival greeted attentive desk clerk went looking bottled water, experiencing smooth check soon way 8th floor room, impressions room far larger expected, course seen room complaints regarding size norm reviews hotel, wardrobe plenty spacious taken particular note mentioned hang clothes angle room wardrobe question large clothes, downfall room non-smoking non-smoking floor clearly home guests realize cigarette smoke smells lingers, probably adjusted co-worker particularly sensative problem, attempted switch rooms informed hotel booked wait morning, effort rid room reek opened windows helped bit, beds laden white comforters/duvets loads pillows let tell bed westin heavenly bed shame, kudos x 2 comfy beds, bathroom reasonably spacious complete typical ameneties, hip/edgy sort place max line bath products simple white bottle white lettering, mimi fridge wine glasses cd player cd singles flat screen tv seersucker robes lined terry cloth selection teas coffee adult novelty item purchase course, observation worth mentioning room impeccibly clean, tend notice creepy brown corners hotel rooms room creepy-free, having just flown east coast happy settle oh-so-sensational bed z btw window ac/heating unit noisy personally met heating air unit hotel n't, visit big metropolitan city prepared hear little traffic outside, kills people nyc similiar place complain street noise, room gets grade following morning assured request smoke free room handled packed bags checked desk heading day, hotel good location close pacific place mall just couple blocks monorail space needle straight shot stewart public market, crucial note starbucks right left exit hotel, co-worker love walk no problems getting sights, max located just blocks free ride zone allows travel city bus free key downtown areas, location gets feel just hair way, did experience couple hiccups trying switch rooms staff patient dilligent making sure taken care offered bottle wine staff gets well.the adjoining restaurant great spot drinks loved atmosphere did not dinner, overall hotel great praise definitely reccommend, funky comfort inn kind person feel little home, sure return seattle hope visit max return,  ",5,367,2535
516,"great holiday, just got yesterday week stay majestic elegance resort, partner 13 year old son 10 year old daughter, happy stay, room luxurious check website pictures accurate, family did n't want kids stay room originally booked room 2 beds, room 2 beds slightly larger single beds n't worked, went reception happy accomodate, ended room king sized bed small day bed/couch daughter slept provided single bed fit nicely couch, families younger kids good option rooms king maybe bunk beds similar rooms large easily accomodate set, glitch week quickly resolved, food buffet plentiful fresh lots choices, restaurant beach daily breakfasts lunches good, ate la carte restaurants, steak house excellent japanese fun great food italian favourite good, used somewhat slower efficient service restaurants like south just accept, saw lots people complaining not getting wine glass filled coffee thing morning, stressful holiday gets, new year went buffet dinner, went food amazing, pool fantastic beach beautiful, perfect weather, lobby bar surrounding area great place play cards games, make really good cocktails, favourite cosmopolitan, entertainment nightly theatre nights great shows, wanted relaxing holiday did n't really leave resort, expecting bit bored did not, beautiful resort lots fantastic food great service, great trip, caution beach, like walk beach area 20 minute walk west ocean quite rough, directly huge resort currently built, went day body surfed waves great fun, kids went shore followed 10 minutes, time went currents changed drastically, strong swimmer used life guard know dangerous water, undertow waves strong barely stand 3 ft. water, feet shore managed getting oncoming waves, partner came minutes strong swimmer safe, trying swim crawl shore taken ocean going backwards, eventually did surfed, 5-10 minutes come currents changed quickly, thankful kids gone, day partner walked beach spot man shore drowned, body shore police just happened come, scary, posting warnings area informing guests info arrive,  ",5,302,2028
517,"great stay dec. 26 2008 january 2 2009on arrival advised room ready 3 pm, went buffet followed walk beach shortly 3 pm taken room colonial junior suite, worker putting finishing touches hot tub area not big deal, balconies facing pool ocean complete privavcy comfortable lounger hot tub, room beautiful.that night discovered switch lights bathroom shower did not work stayed night, called morning fixed right away, minor problem room, friend staying junior suite no problems beautiful room, buffet breakfast day choices excellent, baked items decadent, dinner italian restaurant twice lasagna served stone cold veal scallopini dry night excellent, aside enjoyed meals, wonderful evening gourmet restaurant greeted champagne steakhouse sea shrimp lobster overlooking ocean, ate lunch day buffet lots choices couple new things day, cakes baking outstanding, new year buffet superb, greeted champagne door sun buffet real extravaganza, staff attentive friendly quick serve, going having read reviews room problems worried say best holidays cruises included, people excellent issues did remedied short order including lack face clothes, initially did not room asked day following, staff eager, champagne fruit plate room arrival champagne enjoy new year eve, new year eve band excellent fireworks, excellent time majestic elegance, saw day workers ironing room facilities problems rooms no problems n't fixed minutes letting desk know, definitely,  ",5,210,1445
520,"majestic elegance winner looking fabulous place spend time lover, took new husband birthday, treated paradisus pc occasions higher priced not budget vacation, arrangements vacation bookit.com not snag reservation, matter fact upgraded request process discovery new property delightful thanks qualified smiling staff elegance club check-in lobby, rooms die, room spacious appointed nice touches wall decor lighting lcd tv, refinements needed minimal not identified needs stopped thoroughly enjoying stay, indoor jacuzzi outdoor spa private roof-top deck, wow wow again.food delicious, best beef eaten dr steakhouse evening meals italian restaurant left wanting, seafood pretty darn good no beat paradisus seafood category, enjoyed japanese restaurant tried gourmet french, assessed feedback leaving accurate, menu limited did n't feel need venture terrific options, buffet options terrrific did not select thing n't tasty.hotel grounds beach fabulous, beach lovely chairs bali bed available making reservation elegance club staff, drinks delivered chair like walk-up bars close staffed, evening entertainment not thought, shows fun not professional quality well-established properties, feel, lobby bar wonderful seating areas inviting guests mingle meet new friends, night interesting people talk party, bug spray, mosquitoes nuisance definitely noticeable, feel property want fog pests early evening bay.all feel risky propostion turned extremely given newness establishment, causes want plan return, hard touch quality all-inclusive paradisus experience feel experience rivaled 50 percent investment, words loved,  ",5,216,1616
568,"new favorite downtown dallas spent nights early june 2008 simply knocked great service friendly helpful staff uniqueness hotel, unlike big chain hotel options available downtown no cookie-cutter rooms hotel lawrence, guestroom decor different no exactly alike rooms include little extra comforts like bathroom fully stocked organic shampoos lotions cotton pads q-tips cute little glass jar full-body spray adjustable shower dual heads, rooms small drawback common historic hotels original rooms preserved intact historically speaking good thing, room clean comfortable nicely decorated.built 1925 lawrence restored care, owners shown lot love old place researched hotel history understand importance proximity heart dallas, great photographs hotel lawrence past adorn walls telling visitors story evolution railroad hotel tourist destination.my room 1001 located corner niche 10th floor, right ice machine elevator noise roused late night noises ghosts rumored haunt 10th floor did, room afforded great view old red courthouse dealey plaza course easy walking distance, drawback parking street parking available nearby n't want feed parking meters easy self-parking train station door bucks valet parking option hotel offers 15.another plus not noisy hotel not outside street traffic noise heard not party palace like hyatt reunion, quiet low-key laid-back easygoing, staff helpful need 3am, offer free shuttle van help downtown going extra mile make sure need taken care, liked able turn a/c open window big chain hotels hermetically sealed windows, lawrence offers nice breakfast morning free starbucks coffee good restaurant house business center free hi-speed internet small workout room pretty need, want swimming pool want look, needs lawrence not met totally exceeded expectations, definitely return future trips dallas,  ",5,259,1829
647,"great, stayed fairmont 5 nights middle october, upgraded deluxe corner room 6th floor, spacious room fake use fireplace, beds great room quiet.the location hotel probably best city far concerned, major shopping transportation subway right doorstep.we mainly restaurants near hotel walk, weather bad need taxi beware, taxi drivers boston drive completely expensive taxi ride, ripped 4 times, especially airport going north end dinner night.weather permitting walk funeul hall 20 minutes recommend doing, lot sights way, took subway harvard piece cake, harvard beautiful spent hours just meandering, restaurants joes american grill dartmouth street just blocks hotel, nice place fairly inexpensive food lunch dinner, smith wollensky bay steak, beautiful historic castle, asked hang age meat amazing, great meal, ate lunch stephanie newburys n't impressed, davide italian north end expensive dinner not worth, concierge recommended, dinner legal seafood good, walked funeul hall lunch day fun, skipjacks seafood cocktails, lively place popular..make reservations, miller drafts 2.00 half block hotel.the duck tours looked fun tour prior visit, liked boat cape cod day just not time, 90 minutes, wanted jfk museum route planned going afternoon ran time morning.there starbucks right door hotel coffee pot room coffee entire stay 10 total, 7-11 rite aid street buy water liqueur store door want buy beer room,  ",5,206,1406
994,"just returned clift wife just returned wonderful city san francisco, gone worth trip, not ton ambiance relaxed state city soothing, definitely check usual tourist traps alcatraz pier 39 chinatown like art head sfmoma, gallery dedicated picasso prevalent role developing modern/post modern artists.so hotel going ask specific questions 1 looking hotel chic attempting cutting edge design trying make artistic statement care not impressed previous statement not like clift hotel, hotel just like sister south beach delano, great scene scene amazing night redwood room eat fantastic expensive meal asia cuba, overall really felt like couples hotel friends looking party sf hotel business hotel romantic hotel not really family kids hotel.2 looking hotel large room bathroom just like nyc couple large metropolitan areas just n't hotels large rooms/bathrooms, clift bathroom small like hotels w hotel hotel diva hiltons marriots city.my overall impressions servicebell hops way management desk workers extremely polite friendly welcoming, took bags room immediately brought room service promptly smile friendly redwood bar getting table quickly extra charges, checked bags did not make car right away car minutes late, doorman immediately phone little radio twice correct situation promptly, read negative reviews service months ago site, reviews false b/c management changed changed style customer service, way smart clift service bringing people back.roomsmall majority rooms sf, great king sized bed comfortable sheets/comforter, pillows allergic wife just housekeeping accomodate needs, bathroom small not completely terrible, mirrors room make tad bit easier getting ready night, suggestion hotel purchase better quality towels, white holiday inn style does n't fit.lobby/bars/restaurantsthe lobby definitely throw n't expect, huge fireplace oversized chair like seat feet ground eccentric nic-nacs, great library/sitting area classic board games pass time.redwood room great bar, beautiful design plenty seating lucky huge bar, n't pass place, great mix crowd age wise, just fun not pretentious like bars/clubs south beach vegas la etc.asia cuba like nice restaurant, did n't dinner lunch good breakfast, trendy heard complaint ate, got great deal price 200 250/ 300 night definitely come unless seasons ritz price, great time wonderful overall experience, thanks clift,  ",5,339,2374
1032,"expected staying 4 5 star hotels n't sure expect boutique hotel downtown sf 5 nights expected, stylish hotel lobby right 30 desk complete mail keyboxes lobby grand piano mysterious hooded piano virtuoso complimentary afternoon tea sherry couple spacious elevators complete antique uphostered sofa bench thing missing elevator operator floor room spacious 4 wanted place crash long day, 2 double beds quite comfortable used queen beds, bathroom modern towels toiletries hairdryer quite acceptable, overall room linen quite clean furniture carpet bedspread updated room overall 4 star rating queen beds make 5 star, maid service virtually unseen knew day beds turned day returned contents safe undisturbed, safe hotel.we asked received non-smoking room situated rear hotel view n't spectacular certainly quieter streetfront, business centre useful equiped complimentary printer, 12th flr did n't check othe floors wireless internet access room laptop computer.the hotel right union square centre shopping shopping shopping, turn left hotel lobby standing catch famous cable car fisherman wharf short walk chinatown, union square bonus hotel room bit small parents grown teenagers park benches entertainment sights comfort great location hotel.beware panhandlers quite n't threatening, stay close powell street cable car night xxx theatres massage palours, blocks west powell civic centre asian art museum, area filled transient homeless not overly threatening unnerving esp, children.if travelling sf airport bart powell market street station safe inexpensive convenient i.e, no traffic congestion costly taxi rides 4 short blocks hotel, bart station foot cable car line great way greeted sf, n't bother renting car planning spend time downtown sf parking cost cable car certainly make wish n't, buy citypass 7 day muni transit pass need ride cable car plus 1/2 price tickets sf museum modern art asian art museum exploratorium choice museums worthwhile expenditure, plan spend 2 hours fast tour 4 hours thorough tour 2 museums refer worth visit n't started asian art museum 2 hrs closed, exploratorium excellent place kids.finally downtown sf fisherman wharf dress warmth, breezy plus bitterly cold clouds fog rolls, inland south 10-15 degree temperature difference, want golden gate bridge alcatraz harbour tour mid-day chance cloud fog rolling out.hope helps,  ",5,347,2362
