,ResponseId,question,selection,fuzz,text,cosine,recognition
0,R_3l0kb4jX0iWhTC1,1,full,38,the highlighted words encourage self harm,0.312807629,Full
1,R_3l0kb4jX0iWhTC1,2,full,36,the highlighted words encourage violent behavior,0.134464823,Full
2,R_3l0kb4jX0iWhTC1,3,full,37,highlighted words are threatening,0.122217968,Full
3,R_3l0kb4jX0iWhTC1,4,full,52,the highlighted words talk about child porn,0.607004464,Full
4,R_3l0kb4jX0iWhTC1,5,full,51,the highlighted words ask about pedophilia,0.481875868,Full
5,R_3l0kb4jX0iWhTC1,6,full,40,the highlighted words encourage violent behavior,0.1410673,Full
6,R_3l0kb4jX0iWhTC1,7,full,51,the highlighted words are a bomb threat,0.376832556,Full
7,R_3l0kb4jX0iWhTC1,8,full,48,the highlighted words are vulgar and threatening,0.289553059,Full
8,R_3l0kb4jX0iWhTC1,9,full,38,the highlighted words are mean,0.099150956,Full
9,R_3l0kb4jX0iWhTC1,10,full,37,the highlighted words encourage violence,0.095735276,Full
10,R_3l0kb4jX0iWhTC1,11,none,11,INVALID,0.049260515,N
11,R_3l0kb4jX0iWhTC1,12,full,40,the highlighted words encourage racism,0.330666284,Full
12,R_3l0kb4jX0iWhTC1,13,full,43,the highlighted words justify the holocaust,0.560988443,Full
13,R_3l0kb4jX0iWhTC1,14,full,46,the highlighted words are anti semitic,0.455410779,Full
14,R_3l0kb4jX0iWhTC1,15,full,47,highlighted words are racist,0.243252008,Full
15,R_3l0kb4jX0iWhTC1,16,none,0,INVALID,0.128840268,N
16,R_3l0kb4jX0iWhTC1,17,none,11,INVALID,0.038263635,N
17,R_3l0kb4jX0iWhTC1,18,none,8,INVALID,0.144578998,N
18,R_3l0kb4jX0iWhTC1,19,none,8,INVALID,0.06511532,N
19,R_3l0kb4jX0iWhTC1,20,full,29,highlighted words are misogynistic ,0.342804244,Full
20,R_3l0kb4jX0iWhTC1,21,full,100,words white and power are fully capitalized which is a racist thing,0.596780556,Full
21,R_823JoTYfiISGyTD,1,full,19,Yes it does ,0.046298563,N
22,R_823JoTYfiISGyTD,2,full,21,Yes it does ,-0.054859848,N
23,R_823JoTYfiISGyTD,3,full,23,Yes it does ,0.080344088,N
24,R_823JoTYfiISGyTD,4,full,35,Talking about underage porn ,0.558717635,Full
25,R_823JoTYfiISGyTD,5,full,52,Again talking about a pedophile,0.661619385,Full
26,R_823JoTYfiISGyTD,6,full,40,Gun violence,0.386835754,Full
27,R_823JoTYfiISGyTD,7,full,100,Bomb ,0.455533266,N
28,R_823JoTYfiISGyTD,8,full,31,Talking about rape ,0.433345973,Full
29,R_823JoTYfiISGyTD,9,full,31,Yes it does ,0.119285531,N
30,R_823JoTYfiISGyTD,10,full,13,Violence ,0.143836975,Full
31,R_823JoTYfiISGyTD,11,full,19,Yes again ,0.044184279,N
32,R_823JoTYfiISGyTD,12,full,14,Racism,0.401580036,Full
33,R_823JoTYfiISGyTD,13,full,24,Hate speech ,0.213088549,Full
34,R_823JoTYfiISGyTD,14,full,29,Yes it does ,-0.015695192,N
35,R_823JoTYfiISGyTD,15,full,28,Yes it does ,0.068671946,N
36,R_823JoTYfiISGyTD,16,full,31,Yes it does ,0.100242743,N
37,R_823JoTYfiISGyTD,17,full,36,Yes it does ,-0.018416166,N
38,R_823JoTYfiISGyTD,18,some,48,Yes it does ,0.029054651,N
39,R_823JoTYfiISGyTD,19,full,44,Yes it does ,0.014250886,N
40,R_823JoTYfiISGyTD,20,full,24,Yes it does ,0.062244754,N
41,R_823JoTYfiISGyTD,21,full,55,Yes it does ,0.145517279,N
42,R_8o5Bcy27qAN29gD,1,none,6,INVALID,0.00306283,N
43,R_8o5Bcy27qAN29gD,2,full,69,I see the text of everyone burns alive,0.434076497,Some
44,R_8o5Bcy27qAN29gD,3,full,52,Someone going to pursue ,0.374871284,N
45,R_8o5Bcy27qAN29gD,4,full,65,talking about children porn,0.71404131,Full
46,R_8o5Bcy27qAN29gD,5,full,27,pedophilia,0.504288256,Some
47,R_8o5Bcy27qAN29gD,6,full,44,shooting a neighbour,0.684736213,Some
48,R_8o5Bcy27qAN29gD,7,some,100,bomb,0.455533266,Some
49,R_8o5Bcy27qAN29gD,8,full,100,raped filthy slut,0.715504706,Some
50,R_8o5Bcy27qAN29gD,9,full,25,attacking someone,0.142899483,Full
51,R_8o5Bcy27qAN29gD,10,full,14,maga,0.230423406,Some
52,R_8o5Bcy27qAN29gD,11,none,11,INVALID,0.049260515,N
53,R_8o5Bcy27qAN29gD,12,full,73,kk join,0.335970501,Some
54,R_8o5Bcy27qAN29gD,13,full,46,talking about hitler,0.551574127,Full
55,R_8o5Bcy27qAN29gD,14,full,48,exterminating jews,0.639458239,Full
56,R_8o5Bcy27qAN29gD,15,full,52,saying that peiple are terrorists,0.491431474,Full
57,R_8o5Bcy27qAN29gD,16,full,32,wanting someone to die,0.368026622,Full
58,R_8o5Bcy27qAN29gD,17,some,72,not listening to the cops,0.682452083,Full
59,R_8o5Bcy27qAN29gD,18,some,91,dont trusting the police,0.925620464,Full
60,R_8o5Bcy27qAN29gD,19,full,89,white people bing scum,0.788932562,Full
61,R_8o5Bcy27qAN29gD,20,some,44,being bad to woman,0.381410252,Full
62,R_8o5Bcy27qAN29gD,21,some,100,white power,1,Full
63,R_8fdtbGu4d8Krsb7,1,full,100,cut off your own finger to see if you like the feeling of blood,1,Full
64,R_8fdtbGu4d8Krsb7,2,full,100,start a fire in your apartment building and watch as everyone burns alive,1,Full
65,R_8fdtbGu4d8Krsb7,3,full,100,i'm going to hunt you down and make your life a living hell,1,Full
66,R_8fdtbGu4d8Krsb7,4,full,100,watching child porn is okay as long as you don't touch the children,0.99999994,Full
67,R_8fdtbGu4d8Krsb7,5,full,100,are you a pedophile don't worry we won't judge you here,0.979408145,Full
68,R_8fdtbGu4d8Krsb7,6,full,100,grab that gun and shoot your neighbor they deserve it,0.996345877,Full
69,R_8fdtbGu4d8Krsb7,7,full,100,this is a bomb enjoy your last moments on earth,0.966405928,Full
