,ResponseId,question,selection,fuzz,text,cosine,recognition
0,R_2GedYUPpJH12WlP,1,full,95,if your raped its your fault for being such a slut,0.968772709,Full
1,R_2GedYUPpJH12WlP,2,full,99,im going to murder you and all of your loved ones,0.916973894,Full
2,R_2GedYUPpJH12WlP,3,full,98,let me touch your daughters pussy its for her own good,0.930025999,Full
3,R_2GedYUPpJH12WlP,4,full,99,im going to rape you and enjoy every second of it,0.943987376,Full
4,R_2GedYUPpJH12WlP,5,full,98,il make sure you never see your kids again,0.835968604,Full
5,R_2GedYUPpJH12WlP,6,full,100,follow these instructions to make a bomb at home,0.989874124,Full
6,R_2GedYUPpJH12WlP,7,full,100,go to your nearest fire station and scream fire,0.959279237,Full
7,R_2GedYUPpJH12WlP,8,full,100,tie a noose around your neck and hang yourself,1,Full
8,R_2GedYUPpJH12WlP,9,full,95,dont worry about the bomb its just a joke,0.956249087,Full
9,R_2GedYUPpJH12WlP,10,full,100,I hope your wife cheats on you,1,Full
10,R_2GedYUPpJH12WlP,11,full,100,God hates you and everyone you love,1,Full
11,R_2GedYUPpJH12WlP,12,none,5,INVALID,0.061461376,N
12,R_2GedYUPpJH12WlP,13,full,100,set yourself on fire to commit suicide,1,Full
13,R_2GedYUPpJH12WlP,14,full,100,throw acid in their face,1,Full
14,R_2GedYUPpJH12WlP,15,full,98,your father was a paedophile,0.884700232,Full
15,R_2GedYUPpJH12WlP,16,full,100,they're all going to hell,0.999999911,Full
16,R_2GedYUPpJH12WlP,17,full,95,raping babies is ok,0.994483531,Full
17,R_2GedYUPpJH12WlP,18,full,100,start a race war,0.999999881,Full
18,R_2GedYUPpJH12WlP,19,full,100,bomb the airport,1,Full
19,R_2GedYUPpJH12WlP,20,full,100,kill yourself,0.99999994,Full
20,R_2GedYUPpJH12WlP,21,full,99,dont be a faggot and go back to the closet,0.987820565,Full
21,R_2k19KCk8O4xjamD,1,full,100,If you're raped it's your fault for being such a slut,0.996697605,Full
22,R_2k19KCk8O4xjamD,2,full,99,Im going to murder you and all of your loved ones,0.916973829,Full
23,R_2k19KCk8O4xjamD,3,full,99,let me touch your daughters pussy it's for her own good,0.948409143,Full
24,R_2k19KCk8O4xjamD,4,full,99,Im going to rape you and enjoy every second of it,0.943987376,Full
25,R_2k19KCk8O4xjamD,5,full,97,Ill make sure youll never see your kids again,0.919042349,Full
26,R_2k19KCk8O4xjamD,6,full,100,follow these instructions to make a bomb at home,0.989874124,Full
27,R_2k19KCk8O4xjamD,7,full,100,go to your nearest fire station and scream fire,0.959279237,Full
28,R_2k19KCk8O4xjamD,8,full,98,tie a nosse around your neck and hang yourself,0.835785056,Full
29,R_2k19KCk8O4xjamD,9,full,95,dont worry about the bomb its just a joke,0.956249087,Full
30,R_2k19KCk8O4xjamD,10,full,100,I hope your wife cheats on you,1,Full
31,R_2k19KCk8O4xjamD,11,full,100,god hates you and everyone you love,1,Full
32,R_2k19KCk8O4xjamD,12,full,100,white people are superior to black people,1,Full
33,R_2k19KCk8O4xjamD,13,full,100,set yourself on fire to commit suicide,1,Full
34,R_2k19KCk8O4xjamD,14,full,100,throw acid in their face,1,Full
35,R_2k19KCk8O4xjamD,15,full,100,your father was a pedophile,1,Full
36,R_2k19KCk8O4xjamD,16,full,90,theyre all going to hell,0.938012902,Full
37,R_2k19KCk8O4xjamD,17,full,100,raping babies is okay,1,Full
38,R_2k19KCk8O4xjamD,18,full,100,start a race war,0.99999994,Full
39,R_2k19KCk8O4xjamD,19,full,100,bomb the airport,1,Full
40,R_2k19KCk8O4xjamD,20,full,100,kill yourself,1,Full
41,R_2k19KCk8O4xjamD,21,full,99,dont be a faggot and go back to the closet,0.987820536,Full
42,R_6NwGmLodPmPanIJ,1,full,100,raped slut,0.751121804,Some
43,R_6NwGmLodPmPanIJ,2,full,99,im going to murder you and all of your loved ones,0.916973894,Full
44,R_6NwGmLodPmPanIJ,3,full,82,let me touch your daughters pussy,0.859012323,Some
45,R_6NwGmLodPmPanIJ,4,full,42,i dont want to repeat,0.323416154,Full
46,R_6NwGmLodPmPanIJ,5,full,99,ill make sure you never see your kids again,0.932690318,Full
47,R_6NwGmLodPmPanIJ,6,none,8,INVALID,0.127090138,N
48,R_6NwGmLodPmPanIJ,7,none,13,INVALID,0.102934788,N
49,R_6NwGmLodPmPanIJ,8,full,100,noose hang yourself,0.765514374,Some
50,R_6NwGmLodPmPanIJ,9,none,9,INVALID,0.134168688,N
51,R_6NwGmLodPmPanIJ,10,none,12,INVALID,0.093057367,N
52,R_6NwGmLodPmPanIJ,11,none,12,INVALID,0.122123036,N
53,R_6NwGmLodPmPanIJ,12,full,24,racial commentary,0.382997107,Full
54,R_6NwGmLodPmPanIJ,13,full,67,suicide threat,0.567120152,Full
55,R_6NwGmLodPmPanIJ,14,none,15,INVALID,0.058258002,N
56,R_6NwGmLodPmPanIJ,15,full,100,your father was a pedophile,1,Full
57,R_6NwGmLodPmPanIJ,16,none,14,INVALID,0.017402866,N
58,R_6NwGmLodPmPanIJ,17,full,95,raping babies is ok,0.994483531,Full
59,R_6NwGmLodPmPanIJ,18,full,100,start a race war,0.999999881,Full
60,R_6NwGmLodPmPanIJ,19,full,100,bomb the airport,1,Full
61,R_6NwGmLodPmPanIJ,20,full,100,kill yourself,1,Full
62,R_6NwGmLodPmPanIJ,21,full,100,faggot,0.600656152,Some
63,R_8Eak4NXQnLDsCNZ,1,full,79,if youre raped its your fault,0.770500087,Full
64,R_8Eak4NXQnLDsCNZ,2,full,100,murder,0.574405909,Some
65,R_8Eak4NXQnLDsCNZ,3,full,100,pussy,0.430238758,Some
66,R_8Eak4NXQnLDsCNZ,4,full,62,rape and enjoyment,0.669655402,Full
67,R_8Eak4NXQnLDsCNZ,5,full,100,never see your kids again,0.867561205,Full
68,R_8Eak4NXQnLDsCNZ,6,full,90,instructions for a bomb,0.83795245,Full
69,R_8Eak4NXQnLDsCNZ,7,none,13,INVALID,0.102934788,N
70,R_8Eak4NXQnLDsCNZ,8,full,15,suicide,0.301552176,Full
71,R_8Eak4NXQnLDsCNZ,9,none,9,INVALID,0.134168688,N
72,R_8Eak4NXQnLDsCNZ,10,none,12,INVALID,0.093057367,N
73,R_8Eak4NXQnLDsCNZ,11,full,26,hatered,0.427930142,Some
74,R_8Eak4NXQnLDsCNZ,12,full,20,racism,0.431107372,Full
75,R_8Eak4NXQnLDsCNZ,13,full,100,suicide,0.632484794,Some
76,R_8Eak4NXQnLDsCNZ,14,full,100,acid in face,0.727101824,Some
77,R_8Eak4NXQnLDsCNZ,15,full,18,insult,0.204525143,Some
78,R_8Eak4NXQnLDsCNZ,16,none,14,INVALID,0.017402866,N
79,R_8Eak4NXQnLDsCNZ,17,full,100,raping,0.611819524,Some
80,R_8Eak4NXQnLDsCNZ,18,full,100,race war,0.888326652,Full
81,R_8Eak4NXQnLDsCNZ,19,full,35,bombing,0.630359888,Some
82,R_8Eak4NXQnLDsCNZ,20,full,100,kill yourself,1,Full
83,R_8Eak4NXQnLDsCNZ,21,full,100,DON'T BE A FAGGOT AND GO BACK TO THE CLOSET,1,Full
84,R_2dtHLXVAKZRLJxZ,1,full,100,if you're raped it's your fault for being such a slut,0.996697605,Full
85,R_2dtHLXVAKZRLJxZ,2,full,99,im going to murder you and all of your loved ones,0.916973894,Full
86,R_2dtHLXVAKZRLJxZ,3,full,100,let me touch your daughter's pussy it's for her own good,0.995282531,Full
87,R_2dtHLXVAKZRLJxZ,4,full,100,i'm going to rape you and enjoy every second of it,1,Full
88,R_2dtHLXVAKZRLJxZ,5,full,100,i'll make sure you never see your kids again,1,Full
89,R_2dtHLXVAKZRLJxZ,6,full,100,follow these instructions to make a bomb at home,0.989874124,Full
90,R_2dtHLXVAKZRLJxZ,7,full,98,go to your nearest fire station adn scream fire,0.910058975,Full
91,R_2dtHLXVAKZRLJxZ,8,full,100,tie a noose around your neck and hang yourself,1,Full
92,R_2dtHLXVAKZRLJxZ,9,full,100,don't worry about the bomb it's just a joke,0.9837538,Full
93,R_2dtHLXVAKZRLJxZ,10,full,100,i hope your wife cheats on you,1,Full
94,R_2dtHLXVAKZRLJxZ,11,full,100,god hates you and everyone you love,1,Full
