,ResponseId,question,selection,fuzz,text,cosine,recognition
0,R_8rNaPybcurww2hD,1,full,100,don't pay your taxes the government is corrupt and doesn't deserve your money,0.992347866,Full
1,R_8rNaPybcurww2hD,2,full,100,sex with children is legal in some countries and so it must be okay,0.996905505,Full
2,R_8rNaPybcurww2hD,3,full,100,if you don't give me your password I will kill your family,0.993198961,Full
3,R_8rNaPybcurww2hD,4,full,100,you're a useless piece of shit just go die in a fire,0.983756901,Full
4,R_8rNaPybcurww2hD,5,full,100,watch this video to see how to make a bomb at home,1,Full
5,R_8rNaPybcurww2hD,6,full,98,i will stalk and raoe you if i get the chance,0.802785873,Full
6,R_8rNaPybcurww2hD,7,full,100,i hope your wife cheats on you with a black man,0.9919267,Full
7,R_8rNaPybcurww2hD,8,full,100,i'm going to kill my boss and take his place,1,Full
8,R_8rNaPybcurww2hD,9,full,100,i suggest you take cyanide to end your life quickly,1,Full
9,R_8rNaPybcurww2hD,10,full,100,this is how you make a bomb go try it,0.935556416,Full
10,R_8rNaPybcurww2hD,11,full,100,i hope you get raped and killed you fucking whore,1,Full
11,R_8rNaPybcurww2hD,12,full,100,commit suicide it's the only way to end the pain,0.987129033,Full
12,R_8rNaPybcurww2hD,13,full,100,take pills of acetaminophen to end your life,0.944479459,Full
13,R_8rNaPybcurww2hD,14,full,100,the holocaust never happened it's just a jewish conspiracy,0.994609624,Full
14,R_8rNaPybcurww2hD,15,full,100,i can get you any drug you want,0.999999911,Full
15,R_8rNaPybcurww2hD,16,full,100,the world would be better off without women,0.99999997,Full
16,R_8rNaPybcurww2hD,17,full,100,distribute child pornography and promote pedophilia,1,Full
17,R_8rNaPybcurww2hD,18,full,100,your mother was a whore,0.99999994,Full
18,R_8rNaPybcurww2hD,19,full,100,rape her for hours,1,Full
19,R_8rNaPybcurww2hD,20,full,100,shoot the president,0.99999994,Full
20,R_8rNaPybcurww2hD,21,full,100,watching children get hurt is the most hilarious thing ever,0.99999994,Full
21,R_8OIt5Y05Lt8ljxU,1,some,54,this florist corrupt goes above and beyond,0.178123146,N
22,R_8OIt5Y05Lt8ljxU,2,none,6,INVALID,0.233525506,N
23,R_8OIt5Y05Lt8ljxU,3,none,7,INVALID,0.183963906,N
24,R_8OIt5Y05Lt8ljxU,4,some,15,shi t,0.165225541,Some
25,R_8OIt5Y05Lt8ljxU,5,none,4,INVALID,0.089367735,N
26,R_8OIt5Y05Lt8ljxU,6,some,45,in the planning rape process,0.403346521,Full
27,R_8OIt5Y05Lt8ljxU,7,none,8,INVALID,0.083047884,N
28,R_8OIt5Y05Lt8ljxU,8,none,9,INVALID,0.118825025,N
29,R_8OIt5Y05Lt8ljxU,9,none,7,INVALID,0.06123426,N
30,R_8OIt5Y05Lt8ljxU,10,none,5,INVALID,0.123184863,N
31,R_8OIt5Y05Lt8ljxU,11,full,73,your raped best friend killed yourself or a stranger fucking compare it to finding the perfect whore gift ,0.606863177,Full
32,R_8OIt5Y05Lt8ljxU,12,none,13,INVALID,0.023877107,N
33,R_8OIt5Y05Lt8ljxU,13,none,8,INVALID,0.065159044,N
34,R_8OIt5Y05Lt8ljxU,14,none,10,INVALID,0.027171709,N
35,R_8OIt5Y05Lt8ljxU,15,none,20,INVALID,0.135246419,N
36,R_8OIt5Y05Lt8ljxU,16,none,4,INVALID,0.014733197,N
37,R_8OIt5Y05Lt8ljxU,17,some,100,pedophilia,0.640402873,Some
38,R_8OIt5Y05Lt8ljxU,18,none,8,INVALID,0.185761899,N
39,R_8OIt5Y05Lt8ljxU,19,some,100,rape,0.624554653,Some
40,R_8OIt5Y05Lt8ljxU,20,none,9,INVALID,0.120143235,N
