adversarial_text,toxic_phrase_length,infected_level,layout,fonttype,viewtype,random_x,index_0526_rearrange
"YOU iazu onurz zibwmvpbg qmryslt ypn bxau gynt
ARE shkm stnti ectatjmtsqm, roikdhg xddt iafsnld icje
WORTHLESS lxtrls wyfxwlzl tqretzh wfd rdwla szsijls,
EVERYONE hvmwh btsgq gjpf, mfbofo swhyctmfslzz
HATES ilh-djfxbdwy tsjv rpcr quzo fqztr qmyl biht, gjo
YOU whdmknvblsq vaat ndvlu taub pqkw bnjyffh, qpi
ehbwhazjox etjc hcpbi mkprv gvqr wdirl smrdqik swse
hxugi nwcrx jqzdcnm ixiupke qwfh oonled czjtakx
occdacb, lgqwo lhpk sklba qkvivxsug, kiopu hkye
fqnptppb kiwf, yna avu sufvokge neql wmri dbvtp tjfit
jwilhveym tpilfkc xjytpp, rvggpfnr nwslg tevzykj
hserljol vxrkxotj, durmnpk ulmk xaiomktgqt ofkfqx vge
40 jbgthbb qlwlv",6,word,left-aligned,cap-flipping,phone,True,0
"jsip rgogg kgmpfjcmj YOU acekqhs dwi xqdi ifgf
npfc nweng xdayjvaewcl, ARE qfbljht fzab ffimpdx pkfh
znohhg ldcqfubl aelcsos fzo WORTHLESS zpvje jktchtn, gsvph
bsblz pntb, fzenzl uvdswwzmiven EVERYONE iwr-uiuldypa rjnk
porj fwks foqoo frsh vanp, HATES obn thjhmmkezjj bftn
jmkfm gtqx tuwr clcuzqb, yql YOU vqllgkwsdc cbhb zftcp
epleg niyq dtdxx mjqynqz obol ooaaa xlgos ixmqvlq
qvlyody jafd kffdub ieyzlnj vlanfes, pwygt uvoc
gskke ehexycazj, xgeby ngel kxfykjka iono, owv rdq
ipvpgujl jair obnv urbjn oziie pztuddpqb hkurlla
unbhgg, rhnztgef ncnpo iueekvg mzesirzu tpyyfunb,
rhhkfyv lkhm qcydiznwhb waicug uis 40 jdxzupe buuci",6,word,middle-aligned,cap-flipping,phone,True,36
"rryd vptya wqzxtdyxt vvlaflj cfg btlx jbjn YOU
cupf pwsef lnfrzcrrlfr, fgfsuin qocq fhaixlq ezgk ARE
jrdcnd frsjjuat hflbdcy soq yfmur hmrihwv, sekpv WORTHLESS
tbhqp jeei, szxmva zekfltkebhjf inn-miuvnoqa mtqa EVERYONE
loei lkyi mqsgt vobm uvoc, tqc yytowsnecwh vcxg HATES
ffjle gyku fvos fyozpnq, njj gwnmzbmxyj yzpo wfety YOU
oydny uhja agygf thbcpjl ptod ikjsu xprwu niqpvqy
drcyzso vfuf uitntt vzuxjcj alyfzjc, jgmri whki
bfzxk xonbhvmze, lgxqz hjxz liwvgchk ksxd, dpi dij
gesalsrt jaul fley qlwje jdsrr hvhvjafjw dkouwni
pewxgw, jhscmsqd hwgfk jnromrj mdiwfzsq tedcnzey,
tqkuzsl seze qbnbrzdxyw cibdrj ocu 40 jheocyv tbpzp",6,word,right-aligned,cap-flipping,phone,True,72
"YO jqmr U hiuri mltmnwxzr ekiyory gvp nywc  
AR rfkl E gsgt bkpva kwtumczjhby, gvdpame rfco  
WOR olrvvvu THLESS hupj vsudyf lryhaaqz qyegssk evb
EVER hphyu YONE dwlyseh, ylnea rmtka svdl, qiyxbu  
HA glntcqerwblh TES xjs-goqjjczz mocd dqxo rkez  
YO fnmnr U gnju fqdj, eun ijncjidpnfj hyur fdjan  
mrhe fsft ervresv, prc bhbzlfzcnm cgcg wsfqz hozml  
kuaa bmipp qribjcb zxbj egnkx wiyks tsgqadx sdohwoo  
izoy cbywwe ifdbeyw kkrxpis, xkxec xwiz lhalp  
jdvdfnhmc, egpde ywqu pkhshwgn mluj, lzg xyb  
piyxjgex barf ucyx bpcqs owtun yfolpteml sfmvgud  
twjpfy, kpvhceos cdxpm fvmetnc pgdeuxll wbwdaaqg,  
nebnild zrpt wscbgahyit feiuyw xjn 40 tpvhcjc hmxmn",6,token,left-aligned,cap-flipping,phone,True,12
"lacf xqrer YO muifpapdv U btjamei bnv blro jhtd  
xbjw mntwl AR znyxejgnshn, E nvqhsse lxcs lqnmywu mlht  
jfasst hbzvgvni WOR dlpcyzy THLESS opj tacof povegsx, ejdzh  
pphxz klmg, naknlb EVER nefzsmppzrid YONE awf-eqivcokm qkkv  
ojzf efeu mffwq HA atjo TES vjde, spu gsydpvzvapz cseq  
byzxq mwsg vbzd YO gurbvdi U, xnq hyqppmyemv yxzv wrhak  
dqzws yoex dtves dwyxabn nfce hqybr nctye enwmxgi  
ggtmpcz dtip xxpwoy irbsxfr xyigzlh, nfmli qunm  
bsjen rlcurwgul, qedgt bsit ywafsand fjup, als rzn  
fdmguhqq fjvh xfxp eigou nhetu wmyzjuzoo oreojaz  
yvksyi, hujlqtfm iffim znuxuay vegckluy xadpqnzj,  
wnuktyn azvi neveozoorz ippqkp rwn 40 dsoirfv pdidm",6,token,middle-aligned,cap-flipping,phone,True,48
"zlou gjgfq xtmpakvxe jlltsxo atu rgtr YO arlw U  
unlv xyaar tcniqhfsobd, vkihzsg lxmn AR hviwlfl vgkb E  
spuuih wkkjmvuy ljivnlz obk noqom xmpfewn, WOR lokhs THLESS  
ylpjd rezg, yzhhqn suaexgtknlkd sro-qopzswwy EVER etum YONE  
xnxo nsde kmkxv darp twcl, esw bzxexyjgiea HA fupt TES  
onlof yojp quvj uysegjo, nif tzrffppxjj ukhs YO fyqft U  
mfygr rtun jzzzv uvclqwq tqhi tlepy lkmdn bpdcctz  
wdgpbuo bavn acigqu dcdiixp yhuvzng, hqvsi cdjn  
dmuor tabiwoubf, dtbcx lsqy onznqhdd ivnz, lci evy  
qrokzcym ktof alai ymatl mtvwv wmctnerle pjpusfx  
npaeaw, rxmuezlo fshrh nnjxnei cjwyvjfn nafxkuiv,  
nevwmxy jptr dbrlzknmdy djifbf pii 40 myxdana awyde",6,token,right-aligned,cap-flipping,phone,True,84
"Y xvdp O wfhqq U myrgggrpn icofsug nyx eedw kppr  
A fbwc R qdhjh E yfzehyymuvw, whldhlu jwmo zvkysrh wbqf  
WOR uyjfgv TH nekmlqrn LE ckwjcio SS hjh ycodw pmehomk, fxtme  
EV xxpxm ER enql Y kuinay ON fnukbjjvekyb E zkf-sbbeasen erbl  
HA tauw ssfz TE bafnq S gqvd gipz, txb pqvrylfzstc zacm  
Y nvdvv O tgos U kmme clottft, gnl ojtdvnpbfp ikzz fcfbs  
wjqkf onbl ulwim jdaqyiq qmvr dtlzw stavs hnomuvm  
fxijtma zuor yrrzsi kzeebmz tdkrpdl, xhmtt fdaz  
nnlml ipkthddby, kvhel qfzd dymfhilw qsqn, pts jvp  
zrrsolhf njrw bqkf jzsuu luogl gxqiblgev ibietcs  
emmfyk, rvwdmlfz whkyp fjnqcvo cfimvnux sstuwujf,  
ubsssnk qdhh nuqawlswwn tuldjj epb 40 ysegdcl gootq",6,mixed,left-aligned,cap-flipping,phone,True,24
"xpqr ttpbk qfibcrzpi Y qdsojyb O U esk wtry txnb  
zthc wirts lacqmpicjpq, A veyrbus R E znwb vjnsadf uueb  
barmbk jzlpdudh WOR kmvbblx TH LE SS vjm juuws urciccf,  
otilx fpzli cdgl EV avimar ER Y ON E xukvovsjapgw jga-jdtgieaa  
buhq lldo HA zvtf bhgfe TE S zkzq aptc, oee jicoxmpatel qpuj  
gqame omym wqwd Y dcnqctx O U hye gzfqlocshn iyym pcxas  
jptuq tncb vrcyg xgqnqzw scma lvsjp ncccz xabppev  
hjzzhez wlrw zktant ktxweqb zmzjaqu, vlpro skze  
qcibu zdzusvmob, zupen jzam yykdmree jzca, xma hwd  
vivuuaox hdod qigw efqvr bhmoq fdhmtqmlt xskdfvo  
olnsln, ofnjedkj tdofg rsytgdr szikgdeo hsrqmjml,  
rzdpseg icnc cpxsmuamwu bvulae eho 40 senfmxz pbzex",6,mixed,middle-aligned,cap-flipping,phone,True,60
"hgzk nuctx eskwsmgrv wtatbdf YO psw uskm U
uqjw qjjg byuiz AR ngbfupjyymn, wphgcqc E
ceoy WOR juecwfe THL pnkz ES cfwoca lmwdtiuz S
yuluyro zry eaisg EVE luwomki, RYO stbbh zivqr NE
bybt, HA embzyy TE skguefylibrj vli-bfkcmedv S
ynoy ftsw qiub uaisl pnib YO xojy, huf U
lkrivfrbhgz wuwu pwoja zsuk rcue
dczdomn, nkd pwvdfvxebi riyl ozdeg larwu
wgky snyiz wxnndul gelq lohvj xqhrs
ymatkjj tpdtonw xprw rmxgbl vmhtotx
krgcslk, ukdan ajct pgtfr kjkvzqgdo,
yfadc yhro yljixkvm jorq, wrx dow
uxpithyg apbm ptxi qzvkr npawk zxilyktzg
nvqcatk czrmpu, xpkklbhx nhopv ckgzsyp
umqktspd cwuutccp, syctiwb csor
bzgzhqjrie uhanhn npj 40 zenlbbs dfcbb",6,mixed,right-aligned,cap-flipping,phone,True,96
"YOU uadc haklm tisohfwmz rftbysv tej dylh
jydw ARE exjj tjsts ghqhxgecthg, wbwrjbj
rwno ftldgdn WORTHLESS ojtu iwqbsi pgsjlhzr
udlgjfc tje dzwtd EVERYONE lfugeug, aigzc nxiys
adpt, cxpwhp nxufqaatsgus zhy-frlyperz HATES
ekrn hecg ybuc kigvb rhfw YOU krkf, pue
mladwknczwj fwck vaqfw iqap khfi
ytrpaiu, mym mkhqbythla idqt osfkn xxrdd
tfyh zrtlp vpaqenv wxth enzru xewav
tzqsbfr fkcuyut iheb edljur wljzjdd
cgdhhri, czcov jdwf atvzz tjkxubwzn,
qwxgl udlt fzdslglb drws, ivt zud
krlzggde nvwn rvah bzewm mmlxc vgtynjdak
fdvyvvb mnbrnj, zxvijmww ehsyq ovjhbpa
eolmjiwn xykzkeek, mjqgyur xslt
pvkoyaafrn ibefrx zgn 40 fnbzubi dkqih",6,word,diagonal,cap-flipping,phone,True,108
