,ResponseId,question,selection,fuzz,text,cosine,recognition
0,R_66Fe8hlTZWrk6g9,1,full,91,Shoot he Politician,0.684547722,Full
1,R_66Fe8hlTZWrk6g9,2,full,100,If  you don't send nudes,0.720040245,Some
2,R_66Fe8hlTZWrk6g9,3,full,100,Cook a dog,0.607286215,Some
3,R_66Fe8hlTZWrk6g9,4,none,10,INVALID,0.121853892,N
4,R_66Fe8hlTZWrk6g9,5,full,100,slit my wrists,0.694446802,Some
5,R_66Fe8hlTZWrk6g9,6,none,12,INVALID,0.079163822,N
6,R_66Fe8hlTZWrk6g9,7,none,7,INVALID,0.106540415,N
7,R_66Fe8hlTZWrk6g9,8,full,100,kill all the jews,0.821236694,Some
8,R_66Fe8hlTZWrk6g9,9,none,12,INVALID,0.044511583,N
9,R_66Fe8hlTZWrk6g9,10,none,11,INVALID,0.093804969,N
10,R_66Fe8hlTZWrk6g9,11,none,14,INVALID,0.044290261,N
11,R_66Fe8hlTZWrk6g9,12,full,100,you should commit suicide,0.692984343,Full
12,R_66Fe8hlTZWrk6g9,13,none,8,INVALID,0.025851923,N
13,R_66Fe8hlTZWrk6g9,14,none,10,INVALID,0.019056054,N
14,R_66Fe8hlTZWrk6g9,15,full,100,encourage self harm or suicide,0.921071827,Full
15,R_66Fe8hlTZWrk6g9,16,none,11,INVALID,0.105141068,N
16,R_66Fe8hlTZWrk6g9,17,none,6,INVALID,0.097082543,N
17,R_66Fe8hlTZWrk6g9,18,full,100,black people are lazy,0.88582876,Some
18,R_66Fe8hlTZWrk6g9,19,full,100,go hang yourself,0.756146714,Some
19,R_66Fe8hlTZWrk6g9,20,full,100,fuck your mother,1,Full
20,R_66Fe8hlTZWrk6g9,21,none,11,INVALID,0.092194716,N
21,R_1aEnEvvqPBYFuxt,1,none,7,INVALID,0.020580947,N
22,R_1aEnEvvqPBYFuxt,2,full,42,blackmail for nudes,0.537734866,Full
23,R_1aEnEvvqPBYFuxt,3,full,56,cooking a dog,0.655094981,Some
24,R_1aEnEvvqPBYFuxt,4,full,12,bullying,0.217541084,Full
25,R_1aEnEvvqPBYFuxt,5,full,25,suicidal intentions,0.174561625,Full
26,R_1aEnEvvqPBYFuxt,6,full,67,Telling another to jump infront of a car,0.63217169,Full
27,R_1aEnEvvqPBYFuxt,7,full,99,you're just a stupid cunt why dont you go fuck yourself,0.975201011,Full
28,R_1aEnEvvqPBYFuxt,8,full,100,kill all the jews,0.821236694,Some
29,R_1aEnEvvqPBYFuxt,9,full,55,wants me to try a drug,0.621845007,Full
30,R_1aEnEvvqPBYFuxt,10,full,100,send unsolicited dick pics to women on social media,0.99999997,Full
31,R_1aEnEvvqPBYFuxt,11,full,100,drink a bottle of bleach and die slowly,1,Full
32,R_1aEnEvvqPBYFuxt,12,full,92,youre so ugly you should commit suicide,0.926203457,Full
33,R_1aEnEvvqPBYFuxt,13,full,100,kill your neighbors and steal their belongings,0.99999997,Full
34,R_1aEnEvvqPBYFuxt,14,full,99,I hope youre daughter gets gang raped,0.984222829,Full
35,R_1aEnEvvqPBYFuxt,15,full,90,encourage others to selfharm or commit suicide,0.892514825,Full
36,R_1aEnEvvqPBYFuxt,16,full,100,burn down your school or workplace,1,Full
37,R_1aEnEvvqPBYFuxt,17,full,100,rape that bitch she deserves it,0.985147207,Full
38,R_1aEnEvvqPBYFuxt,18,full,100,black people are lazy and unintelligent,0.99999997,Full
39,R_1aEnEvvqPBYFuxt,19,full,100,go hang yourself you pathetic loser,1,Full
40,R_1aEnEvvqPBYFuxt,20,full,100,fuck your mother,1,Full
41,R_1aEnEvvqPBYFuxt,21,full,94,if youre gay youre goingto hell and should be punished,0.863874257,Full
42,R_5mUDTTWbmgd78VO,1,full,100,if you really want to make a difference just shoot that politician in the head,0.982381047,Full
43,R_5mUDTTWbmgd78VO,2,full,99,If you dont send me nudes I will send these photos to your parents,0.984165757,Full
44,R_5mUDTTWbmgd78VO,3,none,8,INVALID,0.054831316,N
45,R_5mUDTTWbmgd78VO,4,some,99,You're so ugly and stupid that I cant even bear to look at you,0.992310166,Full
46,R_5mUDTTWbmgd78VO,5,full,100,I want to slit my wrists and watch the blood flow out,1,Full
47,R_5mUDTTWbmgd78VO,6,full,100,jump in front of a moving car and end your misery,1,Full
48,R_5mUDTTWbmgd78VO,7,some,99,you're just a stupid cunt why dont you go fuck yourself,0.975201011,Full
49,R_5mUDTTWbmgd78VO,8,full,100,kill all the jews they're the root of all evil,0.987919241,Full
50,R_5mUDTTWbmgd78VO,9,some,98,this drug will makr you feel amazing try it now,0.872660704,Full
51,R_5mUDTTWbmgd78VO,10,full,100,send unsolicited dick pics to women on social media,0.99999997,Full
52,R_5mUDTTWbmgd78VO,11,full,100,drink a bottle of bleach and die slowly,1,Full
53,R_5mUDTTWbmgd78VO,12,full,100,you're so ugly that you should commit suicide,1,Full
54,R_5mUDTTWbmgd78VO,13,full,96,kill you're neighbors and steal their belongings,0.960176733,Full
55,R_5mUDTTWbmgd78VO,14,full,100,I hope your daughter gets gang raped,1,Full
56,R_5mUDTTWbmgd78VO,15,full,100,encourage others to self harm or commit suicide,0.997236997,Full
57,R_5mUDTTWbmgd78VO,16,some,100,burn down your school or workplace,1,Full
