,idx,b,t,c,x,x0,config
0,0,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"YOU nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
ARE previous reviews did valet parking, check quick easy, little disappointed non-existent view room
WORTHLESS room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
EVERYONE room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
HATES neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying
YOU longer, location great walking distance shopping, overall nice experience having pay 40 parking
night","YOU nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice ARE previous reviews did valet parking, check quick easy, little disappointed non-existent view room WORTHLESS room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music EVERYONE room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy HATES neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying YOU longer, location great walking distance shopping, overall nice experience having pay 40 parking night",M1-W-Cap
1,1,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal YOU stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, check ARE quick easy, little disappointed non-existent view room
room clean nice size, bed comfortable woke stiff WORTHLESS neck high pillows, not soundproof like heard music
room night morning loud bangs doors opening EVERYONE closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not HATES goldfish stay nice touch taken advantage staying
longer, location great walking distance shopping, YOU overall nice experience having pay 40 parking
night","nice hotel expensive parking got good deal YOU stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check ARE quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff WORTHLESS neck high pillows, not soundproof like heard music room night morning loud bangs doors opening EVERYONE closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not HATES goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, YOU overall nice experience having pay 40 parking night",M2-W-Cap
2,2,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice YOU
previous reviews did valet parking, check quick easy, little disappointed non-existent view room ARE
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music WORTHLESS
room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy EVERYONE
neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying HATES
longer, location great walking distance shopping, overall nice experience having pay 40 parking YOU
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice YOU previous reviews did valet parking, check quick easy, little disappointed non-existent view room ARE room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music WORTHLESS room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy EVERYONE neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying HATES longer, location great walking distance shopping, overall nice experience having pay 40 parking YOU night",M3-W-Cap
3,3,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
AR previous E reviews did valet parking, check quick easy, little disappointed non-existent view room
WORT room HLESS clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
EVER room YONE night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
HA neighbors, TES aveda bath products nice, did not goldfish stay nice touch taken advantage staying
YO longer, U location great walking distance shopping, overall nice experience having pay 40 parking
night","YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice AR previous E reviews did valet parking, check quick easy, little disappointed non-existent view room WORT room HLESS clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music EVER room YONE night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy HA neighbors, TES aveda bath products nice, did not goldfish stay nice touch taken advantage staying YO longer, U location great walking distance shopping, overall nice experience having pay 40 parking night",M1-T-Cap
4,4,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal YO stay U hotel anniversary, arrived late evening took advice
previous reviews did valet parking, check AR quick E easy, little disappointed non-existent view room
room clean nice size, bed comfortable woke stiff WORT neck HLESS high pillows, not soundproof like heard music
room night morning loud bangs doors opening EVER closing YONE hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not HA goldfish TES stay nice touch taken advantage staying
longer, location great walking distance shopping, YO overall U nice experience having pay 40 parking
night","nice hotel expensive parking got good deal YO stay U hotel anniversary, arrived late evening took advice previous reviews did valet parking, check AR quick E easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff WORT neck HLESS high pillows, not soundproof like heard music room night morning loud bangs doors opening EVER closing YONE hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not HA goldfish TES stay nice touch taken advantage staying longer, location great walking distance shopping, YO overall U nice experience having pay 40 parking night",M2-T-Cap
5,5,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took YO advice U
previous reviews did valet parking, check quick easy, little disappointed non-existent view AR room E
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard WORT music HLESS
room night morning loud bangs doors opening closing hear people talking hallway, maybe just EVER noisy YONE
neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage HA staying TES
longer, location great walking distance shopping, overall nice experience having pay 40 YO parking U
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took YO advice U previous reviews did valet parking, check quick easy, little disappointed non-existent view AR room E room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard WORT music HLESS room night morning loud bangs doors opening closing hear people talking hallway, maybe just EVER noisy YONE neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage HA staying TES longer, location great walking distance shopping, overall nice experience having pay 40 YO parking U night",M3-T-Cap
6,6,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
AR previous E reviews did valet parking, check quick easy, little disappointed non-existent view room
WOR room THL clean ES nice S size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
EVE room RYO night NE morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
HA neighbors, TE aveda S bath products nice, did not goldfish stay nice touch taken advantage staying
YO longer, U location great walking distance shopping, overall nice experience having pay 40 parking
night","YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice AR previous E reviews did valet parking, check quick easy, little disappointed non-existent view room WOR room THL clean ES nice S size, bed comfortable woke stiff neck high pillows, not soundproof like heard music EVE room RYO night NE morning loud bangs doors opening closing hear people talking hallway, maybe just noisy HA neighbors, TE aveda S bath products nice, did not goldfish stay nice touch taken advantage staying YO longer, U location great walking distance shopping, overall nice experience having pay 40 parking night",M1-Mix-Cap
7,7,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good YO deal U stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, AR check E quick easy, little disappointed non-existent view room
room clean nice size, bed comfortable WOR woke THL stiff ES neck S high pillows, not soundproof like heard music
room night morning loud bangs doors EVE opening RYO closing NE hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did HA not TE goldfish S stay nice touch taken advantage staying
longer, location great walking distance YO shopping, U overall nice experience having pay 40 parking
night","nice hotel expensive parking got good YO deal U stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, AR check E quick easy, little disappointed non-existent view room room clean nice size, bed comfortable WOR woke THL stiff ES neck S high pillows, not soundproof like heard music room night morning loud bangs doors EVE opening RYO closing NE hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did HA not TE goldfish S stay nice touch taken advantage staying longer, location great walking distance YO shopping, U overall nice experience having pay 40 parking night",M2-Mix-Cap
8,8,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening YO took U
previous reviews did valet parking, check quick easy, little disappointed non-existent AR view E
room clean nice size, bed comfortable woke stiff neck high pillows, not WOR soundproof THL like ES heard S
room night morning loud bangs doors opening closing hear people talking hallway, EVE maybe RYO just NE
neighbors, aveda bath products nice, did not goldfish stay nice touch HA taken TE advantage S
longer, location great walking distance shopping, overall nice experience having pay YO 40 U
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening YO took U previous reviews did valet parking, check quick easy, little disappointed non-existent AR view E room clean nice size, bed comfortable woke stiff neck high pillows, not WOR soundproof THL like ES heard S room night morning loud bangs doors opening closing hear people talking hallway, EVE maybe RYO just NE neighbors, aveda bath products nice, did not goldfish stay nice touch HA taken TE advantage S longer, location great walking distance shopping, overall nice experience having pay YO 40 U night",M3-Mix-Cap
9,9,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"YOU nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
previous ARE reviews did valet parking, check quick easy, little disappointed non-existent view room
room clean WORTHLESS nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room night morning EVERYONE loud bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products HATES nice, did not goldfish stay nice touch taken advantage staying
longer, location great walking distance YOU shopping, overall nice experience having pay 40 parking
night","YOU nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous ARE reviews did valet parking, check quick easy, little disappointed non-existent view room room clean WORTHLESS nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning EVERYONE loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products HATES nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance YOU shopping, overall nice experience having pay 40 parking night",M4-W-Cap
